" This table shows the overall results to the Civil Service People Survey 2014 by demographic groups - covering job and personal characteristics. These results are different to the benchmark publication in that they are affected by the relative number of responses from different participating organisations (i.e. responses from DWP, HMRC, MOD and NOMS account for 50% of these results).  The Civil Service benchmark is the median score of all participating organisations and therefore is not influenced by the relative number of respondents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civil Service People Survey 2014: results by demographic group1,,Grade,,,,,,Country usually work in [H01],,,,,,Region of England usually work in [H1A],,,,,,,,,,Time in current job [H02],,,,,,Time in organisation (or predecessor) [H03],,,,,,Time in Civil Service [H04],,,,,,Manager status [H05],,,Working pattern [H06],,,,Employment status [H07],,,,,,,Occupation of main role - major groups [H08],,,,,,Occupation of main role [H08],,,,,,,,,,,Occupation of main role (cont.) [H08],,,,,,,,,,,,,,,,,,,,,,,Occupation of main role (cont.) [H08],,,,,,Development scheme [H09],,,,Sex [J01],,,Age [J02],,,,,Ethnicity - binary [J03],,,Ethnicity - major group [J03],,,,,,Ethnicity - detailed [J03],,,,,,,,,,,,,,,,,,,Long-term health [J04],,,Impact of long-term illness/condition [J04],,,,Long-term health [J04/J4A],,,Caring status [J05],,,Childcare status [J06],,,Sexual identity [J07],,,,Religious identity [J08],,,,,,,
,,"AO/AA  (n=71,169)","EO  (n=71,898)","SEO/HEO  (n=72,428)","G6/G7  (n=30,280)","SCS  (n=4,532)",,"England  (n=214,139)","Scotland  (n=24,560)","Wales  (n=18,964)","Northern Ireland  (n=1,648)","Overseas  (n=12,983)",,"East Midlands  (n=12,854)","East of England  (n=11,074)","London  (n=53,033)","North East England  (n=18,164)","North West England  (n=27,646)","South East England  (n=25,934)","South West England  (n=29,949)","West Midlands  (n=16,461)","Yorkshire and the Humber  (n=17,139)",,"Less than 1 year  (n=62,600)","1 year but less than 3 years  (n=69,831)","3 years but less than 5 years  (n=31,332)","5 years but less than 10 years  (n=52,145)","10 years or more  (n=53,365)",,"Less than 1 year  (n=18,472)","1 year but less than 3 years  (n=22,231)","3 years but less than 5 years  (n=14,133)","5 years but less than 10 years  (n=47,770)","10 years or more  (n=149,617)",,"Less than 1 year  (n=16,281)","1 year but less than 3 years  (n=17,717)","3 years but less than 5 years  (n=10,605)","5 years but less than 10 years  (n=43,165)","10 years or more  (n=153,737)",,"Non-manager  (n=185,696)","Manager  (n=85,527)",,"Full-time  (n=220,586)","Part-time  (n=50,140)",Job-share  (n=798),,"Permanent contract  (n=254,546)","Fixed term contract  (n=8,972)","Loaned from other CS organisation  (n=2,712)","Temporary/agency worker  (n=2,859)","Contractor/freelancer  (n=1,332)","Secondee from outside CS  (n=1,464)",,"Operations  (n=156,858)","Corporate Services  (n=47,851)","Policy  (n=17,127)","Specialist services  (n=30,013)","Other  (n=16,410)",,"Operations - Administrative  (n=21,709)","Operations - Casework  (n=19,534)","Operations - Debt Management and Banking  (n=3,060)","Operations - Face to Face  (n=28,328)","Operations - General management  (n=10,098)","Operations - Inspection  (n=2,021)","Operations - Investigation  (n=4,830)","Operations - Logistics  (n=3,658)","Operations - Offender management  (n=1,361)","Operations - Processing  (n=22,500)","Operations - Tax professional  (n=4,379)","Operations - Transport  (n=1,890)","Operations - Voice  (n=11,816)","Operations - Other operations  (n=21,674)","CS - Commercial  (n=4,036)","CS - Estates  (n=3,149)","CS - Finance  (n=7,690)","CS - Human resources  (n=6,431)",CS - Internal audit  (n=678),"CS - Information technology  (n=7,188)","CS - Knowledge & information management  (n=1,770)","CS - Private Office  (n=1,699)","CS - Programme and project management  (n=9,652)","CS - Security  (n=3,837)","CS - Strategy  (n=1,721)","Policy  (n=17,127)",Specialist - Animal health  (n=280),"Specialist - Cartography  (n=1,285)","Specialist - Comms  (n=3,626)","Specialist - Economics  (n=1,229)","Specialist - Engineering  (n=5,151)","Specialist - Health  (n=2,739)","Specialist - Legal  (n=6,689)",Specialist - Operational research  (n=991),"Specialist - Scientist  (n=4,088)",Specialist - Social research  (n=760),"Specialist - Statistics  (n=1,914)","Specialist - Other  (n=1,261)","Other  (n=16,410)",,"Not on a development scheme (n=257,718)","Civil Service Fast Stream schemes (n=1,800)","Other development scheme (n=7,167)",,"Male  (n=116,954)","Female  (n=124,778)",,"Aged 16-34  (n=53,431)","Aged 35-44  (n=60,949)","Aged 45-54  (n=79,870)","Aged 55+  (n=41,210)",,"White  (n=220,741)","BME  (n=22,895)",,"White  (n=220,741)","Mixed  (n=3,533)","Asian  (n=10,942)","Black  (n=6,308)","Other ethnic group  (n=2,112)",,"White- British  (n=211,717)","White - Irish  (n=1,977)",White - Gypsy/Irish Traveller  (n=429),"White - any other white background  (n=6,618)",Mixed - White and Black Caribbean  (n=688),Mixed - White and Black African  (n=373),"Mixed - White and Asian  (n=1,061)","Mixed - any other mixed background  (n=1,411)","Asian - Indian  (n=5,955)","Asain - Pakistani  (n=1,971)",Asian - Bangladeshi  (n=891),Asian - Chinese  (n=718),"Asian - any other Asian background  (n=2,125)","Black - African  (n=3,454)","Black - Caribbean  (n=2,379)",Black - any other Black background  (n=475),Other - Arab  (n=667),Other - any other background  (n=727),,"No long-term limiting illness or condition (n=211,772)","Long-term limiting illness or condition (n=37,098)",,"Illness/condition has no impact on daily activity/work (10,154)","Illness/condition has a little impact on daily activity/work (n=20,783)","Illness/condition has a lot of impact on daily activity/work (n=6,024)",,"No long-term limiting illness/condition or an illness/condition has no impact on daily activities/work (n=221,926)","Long-term limiting illness or condition which has an impact on daily activities/work (n=26,807)",,"Not a carer (n=196,189)","Carer for others (n=56,213)",,"No childcare responsibilities  (n=164,854)","Has childcare responsibilities  (n=87,391)",,"Heterosexual/straight  (n=225,931)","Gay, lesbian or bisexual  (n=7,856)","Other  (n=1,446)",,"No religion (n=88,124)","Christian (n=130,522)","Buddhist (n=1,298)","Hindu (n=3,434)",Jewish (n=844),"Muslim (n=5,470)","Sikh (n=1,461)","Any other religion (n=4,007)"
B19. The people in my team can be relied upon to help when things get difficult in my job ,,83%,82%,84%,87%,94%,,83%,85%,86%,83%,82%,,83%,81%,83%,85%,85%,81%,82%,83%,84%,,87%,84%,82%,82%,80%,,87%,84%,82%,82%,83%,,86%,84%,83%,82%,83%,,82%,87%,,83%,86%,83%,,83%,85%,86%,87%,83%,83%,,84%,83%,86%,83%,79%,,80%,84%,88%,83%,86%,81%,82%,78%,79%,85%,84%,77%,89%,84%,83%,78%,82%,86%,80%,82%,82%,90%,83%,81%,87%,86%,80%,85%,85%,88%,80%,82%,83%,85%,80%,86%,87%,84%,79%,,83%,88%,88%,,83%,85%,,84%,84%,85%,85%,,84%,82%,,84%,82%,82%,83%,80%,,85%,84%,66%,82%,80%,83%,83%,82%,82%,84%,83%,81%,81%,85%,82%,79%,82%,77%,,85%,80%,,84%,80%,74%,,85%,79%,,84%,83%,,84%,85%,,84%,82%,75%,,84%,85%,80%,81%,81%,83%,82%,79%
B20. The people in my team work together to find ways to improve the service we provide ,,79%,78%,80%,85%,94%,,79%,80%,82%,81%,80%,,79%,78%,80%,82%,81%,77%,78%,79%,81%,,83%,81%,80%,78%,76%,,82%,80%,78%,78%,81%,,81%,79%,78%,78%,80%,,77%,85%,,79%,82%,82%,,80%,81%,83%,80%,82%,81%,,80%,81%,83%,79%,74%,,78%,79%,85%,80%,85%,72%,77%,75%,71%,81%,81%,70%,83%,82%,80%,75%,80%,84%,75%,80%,80%,89%,81%,77%,87%,83%,75%,81%,83%,85%,75%,80%,79%,82%,75%,83%,86%,80%,74%,,80%,83%,85%,,79%,83%,,80%,81%,81%,81%,,81%,80%,,81%,79%,80%,82%,77%,,81%,81%,60%,78%,77%,79%,79%,79%,79%,82%,82%,79%,79%,84%,80%,77%,79%,73%,,81%,76%,,80%,77%,70%,,81%,75%,,81%,80%,,80%,81%,,81%,78%,71%,,80%,82%,78%,79%,77%,81%,79%,75%
B21. The people in my team are encouraged to come up with new and better ways of doing things ,,70%,69%,75%,81%,93%,,72%,71%,75%,74%,75%,,71%,68%,74%,74%,73%,69%,71%,72%,72%,,78%,75%,72%,68%,66%,,75%,72%,71%,70%,73%,,72%,72%,71%,71%,73%,,67%,83%,,72%,74%,76%,,72%,73%,78%,69%,75%,75%,,72%,75%,78%,71%,65%,,71%,68%,79%,72%,84%,58%,67%,68%,54%,71%,72%,47%,74%,75%,72%,70%,76%,79%,73%,73%,76%,83%,75%,70%,86%,78%,55%,71%,79%,79%,64%,74%,67%,78%,70%,79%,84%,74%,65%,,72%,77%,80%,,71%,77%,,73%,76%,75%,72%,,74%,74%,,74%,72%,74%,76%,72%,,74%,74%,53%,72%,74%,78%,73%,70%,74%,73%,79%,74%,75%,77%,74%,72%,75%,66%,,74%,68%,,73%,68%,61%,,74%,66%,,74%,72%,,73%,75%,,74%,70%,61%,,73%,75%,67%,74%,67%,75%,72%,66%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning and development ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B22. I am able to access the right learning and development opportunities when I need to ,,60%,59%,62%,65%,80%,,60%,63%,65%,66%,57%,,59%,56%,62%,61%,61%,58%,63%,59%,59%,,67%,63%,60%,57%,55%,,66%,62%,60%,58%,61%,,61%,63%,60%,59%,61%,,58%,67%,,60%,62%,61%,,61%,62%,64%,51%,37%,61%,,61%,65%,63%,61%,50%,,63%,58%,69%,61%,69%,47%,52%,63%,51%,60%,61%,41%,57%,63%,65%,57%,67%,69%,69%,58%,63%,66%,66%,60%,70%,63%,57%,59%,65%,66%,57%,60%,61%,61%,58%,63%,65%,59%,50%,,60%,73%,81%,,59%,66%,,64%,62%,62%,63%,,62%,63%,,62%,60%,63%,64%,59%,,63%,62%,39%,59%,62%,62%,61%,58%,65%,59%,61%,57%,64%,64%,64%,60%,63%,57%,,63%,55%,,62%,54%,46%,,63%,53%,,63%,60%,,62%,61%,,63%,59%,50%,,60%,65%,55%,66%,58%,62%,64%,54%
B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance ,,45%,48%,53%,57%,72%,,49%,50%,51%,52%,57%,,50%,46%,52%,47%,49%,46%,51%,48%,48%,,57%,55%,48%,44%,41%,,56%,58%,54%,49%,48%,,53%,58%,55%,50%,48%,,47%,56%,,50%,47%,45%,,50%,52%,55%,41%,31%,51%,,49%,53%,54%,54%,42%,,44%,44%,49%,55%,56%,47%,45%,48%,47%,45%,56%,34%,47%,51%,52%,48%,52%,55%,56%,49%,49%,49%,56%,54%,61%,54%,55%,51%,56%,60%,48%,63%,54%,57%,47%,53%,58%,52%,42%,,49%,66%,79%,,48%,54%,,56%,52%,51%,46%,,51%,57%,,51%,54%,57%,59%,54%,,50%,53%,33%,54%,54%,57%,55%,53%,56%,55%,57%,53%,61%,63%,54%,53%,58%,51%,,52%,45%,,51%,45%,37%,,52%,43%,,51%,49%,,50%,52%,,51%,51%,42%,,49%,53%,51%,58%,49%,58%,56%,45%
B24. There are opportunities for me to develop my career in [my organisation] ,,37%,40%,47%,50%,65%,,42%,45%,47%,45%,42%,,40%,38%,47%,42%,40%,38%,46%,41%,41%,,57%,48%,39%,34%,32%,,57%,51%,46%,41%,41%,,53%,51%,47%,43%,40%,,39%,51%,,44%,38%,44%,,43%,45%,46%,35%,26%,40%,,41%,48%,51%,44%,34%,,39%,36%,44%,45%,52%,33%,36%,48%,52%,38%,43%,28%,40%,44%,53%,40%,47%,50%,45%,40%,39%,63%,52%,45%,57%,51%,33%,48%,43%,61%,46%,45%,37%,56%,38%,50%,57%,47%,34%,,42%,73%,71%,,43%,46%,,54%,47%,43%,37%,,44%,49%,,44%,47%,49%,50%,42%,,44%,47%,26%,40%,50%,53%,50%,43%,49%,50%,52%,37%,50%,52%,49%,47%,51%,38%,,46%,35%,,41%,35%,28%,,46%,33%,,45%,40%,,44%,44%,,45%,45%,35%,,44%,45%,41%,51%,40%,49%,49%,36%
B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career ,,33%,38%,48%,52%,69%,,41%,42%,44%,43%,53%,,38%,37%,45%,36%,38%,37%,46%,39%,39%,,52%,48%,40%,34%,30%,,51%,50%,47%,41%,39%,,50%,49%,48%,42%,39%,,37%,52%,,43%,35%,44%,,41%,47%,48%,36%,29%,49%,,38%,50%,51%,47%,36%,,34%,32%,34%,43%,51%,36%,34%,47%,45%,33%,43%,26%,35%,41%,52%,46%,48%,51%,51%,44%,41%,49%,54%,49%,58%,51%,41%,47%,49%,61%,48%,54%,39%,54%,42%,53%,55%,47%,36%,,40%,67%,76%,,43%,45%,,52%,46%,42%,35%,,43%,51%,,43%,47%,51%,53%,51%,,42%,46%,27%,47%,48%,53%,49%,44%,49%,50%,51%,46%,55%,58%,47%,44%,61%,46%,,45%,34%,,41%,33%,26%,,45%,32%,,44%,39%,,42%,44%,,44%,44%,35%,,42%,44%,44%,51%,42%,52%,48%,37%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inclusion and fair treatment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B26. I am treated fairly at work ,,74%,74%,79%,81%,90%,,76%,78%,79%,78%,77%,,74%,73%,77%,75%,75%,74%,78%,75%,75%,,85%,79%,75%,72%,69%,,88%,82%,77%,74%,75%,,86%,82%,78%,76%,75%,,74%,82%,,76%,78%,78%,,76%,84%,85%,84%,84%,87%,,75%,79%,83%,78%,69%,,77%,73%,78%,76%,83%,70%,72%,77%,64%,75%,72%,60%,74%,77%,78%,73%,79%,81%,80%,77%,78%,87%,81%,74%,84%,83%,66%,80%,81%,89%,76%,80%,74%,81%,75%,86%,85%,80%,69%,,76%,89%,86%,,77%,80%,,82%,79%,77%,78%,,79%,75%,,79%,75%,76%,75%,71%,,79%,78%,55%,77%,74%,76%,77%,74%,76%,77%,80%,74%,75%,76%,73%,68%,74%,66%,,80%,68%,,77%,68%,53%,,80%,65%,,79%,73%,,78%,77%,,79%,76%,60%,,78%,79%,67%,76%,72%,77%,76%,67%
B27. I am treated with respect by the people I work with ,,82%,83%,85%,88%,94%,,83%,84%,86%,84%,83%,,83%,82%,84%,84%,84%,83%,84%,83%,84%,,89%,85%,83%,81%,79%,,89%,86%,83%,82%,84%,,89%,86%,84%,83%,83%,,82%,87%,,83%,86%,83%,,83%,88%,87%,87%,87%,90%,,84%,84%,88%,84%,79%,,81%,83%,87%,84%,87%,82%,81%,82%,76%,83%,86%,76%,86%,84%,84%,78%,85%,85%,86%,83%,84%,89%,86%,82%,87%,88%,79%,89%,84%,93%,82%,85%,83%,88%,81%,90%,89%,85%,79%,,84%,90%,90%,,84%,86%,,86%,85%,85%,86%,,85%,83%,,85%,83%,84%,83%,81%,,86%,85%,62%,84%,83%,82%,84%,81%,84%,85%,85%,80%,83%,84%,81%,77%,87%,75%,,86%,78%,,85%,78%,68%,,86%,76%,,86%,82%,,85%,85%,,85%,82%,74%,,85%,86%,76%,84%,80%,85%,82%,76%
B28. I feel valued for the work I do ,,55%,57%,64%,68%,84%,,59%,59%,62%,59%,70%,,57%,55%,64%,56%,58%,57%,60%,58%,58%,,70%,63%,59%,54%,51%,,74%,66%,61%,57%,59%,,71%,66%,62%,58%,59%,,56%,68%,,60%,60%,66%,,59%,70%,73%,69%,76%,74%,,58%,65%,71%,62%,53%,,62%,52%,54%,63%,69%,51%,52%,61%,42%,55%,50%,40%,51%,62%,63%,62%,65%,66%,64%,60%,63%,76%,66%,61%,73%,71%,48%,62%,67%,78%,55%,65%,58%,68%,59%,71%,71%,65%,53%,,60%,79%,72%,,60%,65%,,64%,63%,62%,63%,,62%,67%,,62%,62%,69%,67%,66%,,62%,66%,37%,65%,62%,66%,63%,60%,67%,67%,71%,68%,71%,72%,61%,59%,74%,56%,,63%,52%,,62%,51%,40%,,63%,49%,,63%,58%,,62%,62%,,63%,61%,49%,,60%,64%,59%,70%,58%,69%,65%,52%
"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)  ",,68%,68%,73%,75%,86%,,70%,72%,73%,70%,74%,,69%,66%,72%,69%,70%,68%,71%,69%,69%,,78%,73%,70%,66%,62%,,82%,76%,71%,69%,69%,,80%,77%,73%,71%,68%,,67%,77%,,70%,71%,71%,,70%,79%,73%,81%,79%,79%,,70%,74%,74%,71%,62%,,71%,66%,72%,71%,80%,57%,62%,67%,59%,69%,63%,49%,70%,71%,73%,70%,75%,75%,73%,73%,71%,81%,75%,68%,79%,74%,58%,72%,75%,83%,66%,71%,68%,77%,71%,77%,80%,77%,62%,,70%,82%,81%,,70%,75%,,77%,73%,71%,69%,,73%,71%,,73%,69%,73%,68%,73%,,73%,71%,48%,73%,70%,71%,70%,67%,72%,74%,77%,74%,73%,73%,62%,62%,79%,65%,,74%,61%,,70%,61%,48%,,74%,58%,,73%,67%,,72%,72%,,73%,71%,54%,,72%,74%,63%,74%,68%,76%,71%,61%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resources and workload ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B30. In my job, I am clear what is expected of me ",,86%,82%,80%,83%,93%,,82%,85%,85%,86%,86%,,82%,81%,81%,84%,84%,81%,81%,82%,82%,,82%,83%,83%,83%,82%,,82%,84%,82%,82%,83%,,82%,84%,82%,83%,82%,,82%,85%,,82%,85%,83%,,82%,84%,80%,89%,84%,82%,,84%,81%,81%,81%,78%,,85%,82%,87%,85%,86%,81%,76%,82%,79%,85%,79%,78%,87%,83%,79%,83%,83%,83%,87%,77%,80%,88%,79%,84%,81%,81%,69%,85%,79%,81%,77%,85%,85%,77%,78%,82%,84%,81%,78%,,82%,80%,85%,,82%,86%,,84%,84%,84%,85%,,84%,86%,,84%,83%,86%,87%,82%,,84%,83%,65%,81%,85%,88%,82%,81%,86%,88%,88%,84%,86%,89%,85%,84%,85%,78%,,84%,79%,,84%,79%,72%,,84%,77%,,84%,82%,,83%,84%,,84%,81%,71%,,82%,85%,79%,87%,76%,87%,86%,79%
B31. I get the information I need to do my job well ,,65%,62%,64%,68%,84%,,63%,66%,69%,66%,73%,,61%,60%,67%,62%,63%,61%,61%,63%,62%,,68%,66%,65%,62%,60%,,70%,67%,66%,63%,63%,,67%,68%,66%,63%,64%,,62%,69%,,64%,65%,68%,,64%,72%,68%,74%,67%,68%,,64%,65%,71%,65%,57%,,70%,59%,60%,66%,71%,57%,57%,65%,57%,64%,54%,53%,61%,66%,59%,66%,66%,67%,69%,60%,67%,80%,63%,68%,70%,71%,51%,67%,65%,73%,57%,70%,64%,62%,65%,69%,72%,69%,57%,,64%,73%,73%,,64%,69%,,68%,67%,65%,67%,,65%,73%,,65%,66%,74%,75%,69%,,65%,66%,42%,64%,68%,71%,67%,64%,73%,76%,78%,69%,74%,79%,69%,72%,77%,62%,,67%,58%,,66%,57%,49%,,67%,55%,,67%,62%,,65%,66%,,67%,63%,53%,,63%,68%,61%,74%,62%,76%,73%,59%
B32. I have clear work objectives ,,77%,72%,71%,77%,90%,,73%,76%,77%,77%,81%,,72%,71%,74%,74%,75%,71%,70%,73%,73%,,74%,75%,75%,74%,71%,,75%,75%,74%,73%,74%,,74%,76%,73%,73%,74%,,72%,77%,,73%,77%,78%,,74%,77%,73%,80%,73%,72%,,75%,72%,76%,73%,67%,,77%,73%,78%,77%,78%,71%,65%,72%,66%,76%,71%,67%,77%,74%,67%,74%,75%,74%,80%,66%,73%,80%,71%,75%,76%,76%,57%,76%,72%,76%,64%,79%,76%,68%,71%,76%,78%,75%,67%,,74%,72%,79%,,72%,79%,,74%,75%,75%,77%,,75%,80%,,75%,74%,81%,81%,76%,,75%,75%,52%,74%,76%,77%,75%,72%,80%,81%,84%,78%,82%,85%,77%,74%,79%,72%,,76%,70%,,75%,69%,62%,,76%,68%,,75%,74%,,75%,75%,,76%,71%,61%,,72%,77%,71%,82%,69%,81%,79%,69%
B33. I have the skills I need to do my job effectively ,,83%,83%,85%,91%,96%,,84%,86%,86%,82%,90%,,83%,83%,86%,82%,83%,83%,84%,84%,83%,,82%,85%,86%,86%,84%,,87%,87%,86%,85%,84%,,88%,89%,87%,86%,83%,,83%,89%,,85%,83%,86%,,84%,89%,88%,91%,95%,87%,,84%,86%,87%,88%,84%,,87%,78%,79%,86%,87%,86%,78%,87%,87%,81%,77%,86%,82%,86%,84%,88%,88%,88%,89%,81%,85%,94%,85%,87%,89%,87%,87%,88%,89%,89%,84%,91%,89%,84%,87%,88%,88%,88%,84%,,85%,86%,86%,,85%,86%,,87%,85%,85%,87%,,85%,86%,,85%,85%,87%,87%,85%,,85%,85%,69%,87%,85%,85%,84%,85%,86%,88%,90%,82%,88%,90%,83%,84%,89%,84%,,86%,80%,,86%,80%,71%,,86%,78%,,86%,83%,,85%,85%,,86%,83%,76%,,85%,86%,83%,87%,81%,88%,85%,82%
B34. I have the tools I need to do my job effectively,,62%,61%,62%,64%,76%,,61%,67%,67%,63%,67%,,60%,58%,65%,61%,59%,59%,58%,62%,61%,,66%,63%,62%,60%,59%,,72%,67%,65%,61%,61%,,69%,69%,65%,61%,60%,,61%,66%,,62%,63%,69%,,62%,73%,67%,79%,71%,66%,,61%,66%,68%,62%,58%,,73%,53%,57%,62%,69%,56%,45%,66%,68%,59%,46%,60%,56%,63%,58%,69%,67%,69%,67%,64%,65%,79%,63%,66%,68%,68%,60%,61%,62%,72%,54%,71%,58%,57%,64%,68%,67%,70%,58%,,62%,70%,69%,,61%,67%,,67%,64%,62%,64%,,63%,71%,,63%,65%,73%,73%,65%,,63%,64%,43%,64%,67%,69%,64%,63%,72%,76%,77%,63%,73%,77%,68%,67%,73%,61%,,65%,56%,,63%,55%,47%,,65%,53%,,64%,60%,,63%,63%,,65%,60%,53%,,61%,66%,60%,75%,60%,74%,70%,57%
B35. I have an acceptable workload,,63%,58%,55%,51%,60%,,56%,62%,64%,61%,61%,,56%,54%,56%,58%,57%,55%,55%,58%,57%,,63%,57%,56%,56%,54%,,71%,62%,57%,56%,55%,,68%,64%,58%,57%,56%,,60%,52%,,56%,62%,62%,,57%,70%,60%,77%,69%,65%,,58%,58%,56%,55%,52%,,64%,54%,67%,60%,54%,47%,53%,60%,57%,59%,49%,59%,59%,59%,53%,60%,60%,57%,62%,56%,62%,61%,58%,63%,60%,56%,37%,59%,59%,64%,52%,57%,50%,59%,51%,60%,60%,64%,52%,,57%,70%,62%,,57%,62%,,63%,58%,57%,61%,,59%,64%,,59%,59%,66%,64%,61%,,59%,59%,43%,58%,61%,61%,62%,56%,64%,67%,69%,63%,67%,68%,59%,59%,66%,53%,,60%,52%,,60%,51%,44%,,60%,50%,,60%,55%,,59%,58%,,59%,56%,52%,,58%,60%,56%,65%,55%,67%,64%,55%
B36. I achieve a good balance between my work life and my private life,,71%,66%,64%,56%,57%,,64%,69%,71%,67%,66%,,64%,61%,62%,67%,65%,63%,64%,65%,65%,,69%,64%,64%,64%,62%,,76%,69%,64%,64%,63%,,73%,71%,65%,65%,64%,,67%,59%,,62%,75%,73%,,64%,75%,63%,79%,71%,68%,,67%,66%,61%,62%,56%,,73%,66%,71%,66%,62%,52%,58%,64%,59%,70%,61%,50%,68%,65%,64%,67%,69%,65%,69%,67%,71%,56%,66%,66%,67%,61%,49%,63%,67%,68%,61%,58%,56%,70%,61%,71%,70%,70%,56%,,65%,72%,69%,,63%,70%,,70%,66%,64%,68%,,66%,69%,,66%,65%,72%,69%,67%,,66%,65%,50%,64%,67%,68%,66%,62%,71%,71%,74%,70%,71%,72%,65%,64%,73%,59%,,68%,58%,,68%,57%,46%,,68%,54%,,68%,61%,,66%,66%,,67%,63%,57%,,66%,67%,61%,72%,62%,72%,69%,60%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pay and benefits ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B37. I feel that my pay adequately reflects my performance ,,21%,24%,30%,39%,38%,,27%,25%,33%,29%,30%,,27%,26%,28%,25%,25%,25%,27%,27%,28%,,35%,29%,25%,22%,21%,,44%,34%,28%,25%,25%,,42%,35%,28%,26%,24%,,25%,32%,,27%,28%,34%,,26%,41%,38%,40%,51%,51%,,25%,32%,32%,30%,25%,,26%,21%,18%,28%,30%,26%,25%,29%,12%,22%,15%,20%,23%,26%,31%,31%,33%,37%,35%,27%,29%,38%,31%,33%,39%,32%,25%,28%,38%,38%,21%,44%,28%,29%,21%,47%,41%,30%,25%,,27%,40%,35%,,25%,31%,,33%,30%,27%,24%,,28%,28%,,28%,30%,28%,26%,26%,,28%,29%,16%,29%,33%,31%,30%,29%,26%,32%,32%,26%,30%,28%,23%,21%,33%,21%,,29%,21%,,25%,21%,17%,,29%,20%,,29%,24%,,28%,28%,,29%,28%,23%,,29%,29%,26%,27%,25%,31%,24%,21%
